year,month,DN_DBL_kg,DN_UBL_kg,DN_total_kg
2010,1,2654476,25430097,28084573
2010,2,2920048,25788425,28708472
2010,3,3310585,26283460,29594045
2010,4,3391913,26382268,29774182
2010,5,3840405,27482422,31322827
2010,6,3713391,26482006,30195398
2010,7,4267461,30091431,34358892
2010,8,3376692,33375146,36751838
2010,9,1995169,30835173,32830342
2010,10,2760903,32542313,35303216
2010,11,2706402,32624723,35331126
2010,12,2944987,25980107,28925094
2011,1,3676930,26625853,30302784
2011,2,4238586,26926710,31165296
2011,3,4895201,27118050,32013250
2011,4,4764208,28043304,32807512
2011,5,4353243,28450154,32803398
2011,6,7253750,27666661,34920412
2011,7,7208055,24571304,31779359
2011,8,8414127,24282455,32696582
2011,9,9213320,24328459,33541779
2011,10,9339844,26937459,36277303
2011,11,9535821,25317447,34853267
2011,12,8755177,25466411,34221588
2012,1,7936214,16373400,24309613
2012,2,5357525,19354617,24712141
2012,3,9940058,22400245,32340303
2012,4,9193946,21553468,30747414
2012,5,9664069,25122743,34786812
2012,6,8747480,25311590,34059070
2012,7,6982260,27041311,34023571
2012,8,6846741,27339416,34186157
2012,9,6198710,28630560,34829270
2012,10,5099479,25693941,30793420
2012,11,5372794,26024644,31397439
2012,12,5414257,27117166,32531423
2013,1,4841472,27243500,32084972
2013,2,4030587,35091960,39122547
2013,3,6702492,24173780,30876272
2013,4,6163962,25255672,31419634
2013,5,6024095,25000870,31024964
2013,6,5534854,27514400,33049254
2013,7,4478950,25814119,30293069
2013,8,4033704,29313052,33346756
2013,9,3810392,28575474,32385866
2013,10,3188687,26115399,29304087
2013,11,2851758,26377294,29229052
2013,12,2280704,20164999,22445703
2014,1,2558967,20456531,23015499
2014,2,4578922,28998397,33577319
2014,3,5142982,29559156,34702139
2014,4,4928139,26406559,31334699
2014,5,5044066,28715541,33759607
2014,6,2257981,31072419,33330401
2014,7,2317922,34245688,36563610
2014,8,2306632,31384412,33691044
2014,9,1279136,30268046,31547183
2014,10,1420833,35375505,36796338
2014,11,1258133,35203874,36462007
2014,12,1242311,29053888,30296199
